yy1,y1,wgt,age,educ,edcl,norminc,liq,cds,nmmf,stocks,bond,ccbal,veh_inst,install
42,424,4875.461542451881,47,8,2,33415.42949607199,203.3524560774471,0,0,0,0,1762.387952671208,0,0
42,425,4827.395787672105,47,8,2,33415.42949607199,203.3524560774471,0,0,0,0,1762.387952671208,0,0
43,431,7281.894417547383,33,6,2,29238.50080906299,2033.524560774471,0,0,0,0,4744.890641807099,0,0
43,432,7231.708043355762,33,6,2,29238.50080906299,2033.524560774471,0,0,0,0,4744.890641807099,0,0
43,433,7283.832909798449,33,6,2,29238.50080906299,2033.524560774471,0,0,0,0,4744.890641807099,0,0
43,434,7275.000730459593,33,6,2,29238.50080906299,2033.524560774471,0,0,0,0,4744.890641807099,0,0
43,435,7271.269498270417,33,6,2,29238.50080906299,2033.524560774471,0,0,0,0,4744.890641807099,0,0
44,441,8923.326319502699,67,12,4,75184.71636616199,67784.15202581571,0,71851.20114736464,33892.07601290786,0,0,0,0
44,442,8147.447354031836,67,12,4,72400.0972414893,67784.15202581571,0,70495.51810684834,33892.07601290786,0,0,0,0
44,443,9031.645396333592,67,12,4,69615.47811681665,67784.15202581571,0,70495.51810684834,33892.07601290786,0,0,0,0
44,444,9008.561640252377,67,12,4,72400.0972414893,67784.15202581571,0,70495.51810684834,33892.07601290786,0,0,0,0
44,445,8794.054949789057,67,12,4,73792.40680382564,67784.15202581571,0,71851.20114736464,33892.07601290786,0,0,0,0
45,451,5324.133000621491,82,13,4,218314.139374337,20335.24560774471,0,345156.9021154536,0,0,0,0,0
45,452,5570.772307907326,82,13,4,218314.139374337,20335.24560774471,0,345156.9021154536,0,0,0,0,0
45,453,5284.084242167348,82,13,4,216921.8298120007,20335.24560774471,0,345156.9021154536,0,0,0,0,0
45,454,5669.676246083763,82,13,4,218314.139374337,20335.24560774471,0,345156.9021154536,0,0,0,0,0
45,455,5408.692053594335,82,13,4,218314.139374337,20335.24560774471,0,345156.9021154536,0,0,0,0,0
46,461,8908.884937059545,43,12,4,66830.85899214399,1220.114736464683,0,0,0,0,44534.18788096092,9896.486195769094,17217.17461455719
46,462,8347.582469615099,43,12,4,66830.85899214399,1220.114736464683,0,0,0,0,44534.18788096092,14912.51344567945,24537.86303334529
46,463,8869.349365927888,43,12,4,66830.85899214399,1220.114736464683,0,0,0,0,44534.18788096092,10574.32771602725,18708.42595912514
46,464,8811.451393497675,43,12,4,66830.85899214399,1220.114736464683,0,0,0,0,44534.18788096092,11658.8741484403,21555.3603442094
46,465,8638.174880156399,43,12,4,66830.85899214399,1220.114736464683,0,0,0,0,44534.18788096092,11116.60093223378,19928.54069558982
47,471,7941.021798901384,77,5,1,30630.81037139932,50160.27249910362,18979.5625672284,0,36603.44209394048,0,0,0,0
47,472,9386.183128449205,77,5,1,30630.81037139932,35790.03226963069,39314.80817497311,0,37959.12513445679,0,0,0,0
47,473,10249.61750013836,77,5,1,34807.73905840833,34502.13338114019,11116.60093223378,0,58294.37074220151,0,0,0,0
47,474,10083.56158226009,77,5,1,29238.50080906299,34529.24704195052,44737.54033703836,0,35247.75905342417,0,0,0,0
47,475,9925.009449784613,77,5,1,33415.42949607199,47448.90641807099,14912.51344567945,0,44737.54033703836,0,0,0,0
48,481,6632.387173154697,42,9,3,128092.4797349426,2657.138759411976,0,0,0,0,0,0,0
48,482,7520.848623912316,42,9,3,37592.35818308099,18301.72104697024,0,0,0,0,0,0,0
48,483,8007.936542011033,42,9,3,87715.50242718899,11563.97633560416,0,0,0,0,0,0,0
48,484,7952.813864410741,42,9,3,34807.73905840833,1084.546432413051,0,0,0,0,0,0,0
48,485,6829.730063675224,42,9,3,51515.45380644433,18708.42595912514,0,0,0,0,0,0,0
49,491,20.62613817185015,69,13,4,5457853.484358425,47448.90641807099,0,176238.7952671208,271136.6081032628,13556830.40516314,0,0,0
49,492,21.16059996993642,69,13,4,4873083.468177166,50160.27249910362,0,237244.532090355,271136.6081032628,13556830.40516314,0,0,0
49,493,21.98268053578137,69,13,4,4942698.946293983,35247.75905342417,0,305028.6841161707,271136.6081032628,13556830.40516314,0,0,0
49,494,19.82603351151272,69,13,4,4385775.121359449,46635.49659376121,0,169460.3800645393,271136.6081032628,13556830.40516314,0,0,0
49,495,19.50420320862833,69,13,4,5235083.954384612,42026.17425600574,0,237244.532090355,271136.6081032628,13556830.40516314,0,0,0
50,501,9875.459357103788,71,9,3,15315.40518569966,1355.683040516314,0,0,0,0,40.67049121548942,0,0
50,502,9829.566832042286,71,9,3,15315.40518569966,1355.683040516314,0,0,0,0,40.67049121548942,0,0
50,503,9934.976288517062,71,9,3,15315.40518569966,1355.683040516314,0,0,0,0,54.22732162065256,0,0
